id;code;marke;model;mann;frau;tag;abend;fruehlingsommer;herbstwinter;orientalisch;holzig;fruchtig;frisch;wuerzig;suess;blumig;aquatisch;zitrus;freizeit;Sport;Arbeit;Ausgehen;jung;alt#
44;45;Nikos;SCULPTURE;1;%;1;1;1;%;%;%;%;1;%;1;%;%;1;%;%;%;%;%;%#
45;46;Carolina Herrera;212 V.I.P. MEN;1;%;1;1;1;%;%;1;%;1;1;1;%;%;%;%;%;%;%;%;%#
46;47;Caldion;CALDION;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
47;48;Givenchy;INSENSE ULTRAMARINE;1;%;1;%;1;%;%;%;1;1;%;%;%;1;%;%;%;%;%;%;%#
48;49;Paco Rabanne;ULTRAVIOLET;1;%;1;%;1;1;1;%;%;1;1;1;%;%;%;%;%;%;%;%;%#
49;50;Versace;BLUE JEANS;1;%;1;%;1;%;%;%;%;1;%;1;1;%;1;%;%;%;%;%;%#
50;51;Paco Rabanne;XS;1;%;1;1;1;1;%;1;%;1;1;%;%;%;%;%;%;%;%;%;%#
51;52;Calvin Klein;ESCAPE;1;%;1;%;1;%;%;%;1;1;%;%;%;%;%;%;%;%;%;%;%#
52;53;Lacoste;LACOSTE RED;1;%;1;%;1;%;%;%;1;1;%;1;1;%;%;%;%;%;%;%;%#
53;54;Kenzo;KENZO JUNGLE;1;%;1;1;1;1;%;1;%;%;1;1;%;%;1;%;%;%;%;%;%#
54;55;Paco Rabanne;XS BLACK;1;%;%;1;1;1;%;%;1;%;%;1;%;%;%;%;%;%;%;%;%#
55;56;Giorgio Armani;ARMANI NIGHT;1;%;%;1;%;1;%;1;%;%;1;%;%;%;%;%;%;%;%;%;%#
56;57;Hugo Boss;BOSS;1;%;1;%;1;%;%;1;%;1;1;%;%;%;%;%;%;%;%;%;%#
57;58;Burberry;TOUCH;1;%;1;1;1;1;%;1;%;%;1;1;1;%;%;%;%;%;%;%;%#
58;59;Lacoste;CHALLENGE;1;%;1;%;1;%;%;%;%;1;%;%;%;%;1;%;%;%;%;%;%#
59;60;Chanel;ALLURE HOMME;1;%;1;1;%;1;1;1;%;1;1;1;%;%;1;%;%;%;%;%;%#
60;61;Givenchy;VERY IRRESISTIBLE;1;%;1;1;%;1;%;1;%;%;1;1;%;%;%;%;%;%;%;%;%#
61;62;Bvlgari;BVLGARI;1;%;1;%;1;%;%;1;%;1;1;%;1;%;1;%;%;%;%;%;%#
62;63;Burberry;BRIT;1;%;1;%;1;1;%;1;%;1;1;%;%;%;1;%;%;%;%;%;%#
63;64;Lacoste;COOL PLAY;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
64;65;Giorgio Armani;ARMANI MANIA;1;%;1;%;1;%;%;1;1;1;1;%;%;%;1;%;%;%;%;%;%#
65;66;Lacoste;POUR HOMME;1;%;1;1;1;1;%;1;1;1;%;1;%;%;%;%;%;%;%;%;%#
66;67;Hugo Boss;HUGO XY;1;%;1;%;1;%;%;1;%;1;1;%;%;1;%;%;%;%;%;%;%#
67;68;Kenzo;KENZO POWER;1;%;1;%;1;%;%;1;%;1;1;1;1;%;%;%;%;%;%;%;%#
68;69;Mont Blanc;INDIVIDUEL;1;%;1;1;1;1;1;%;1;1;1;1;%;%;%;%;%;%;%;%;%#
69;70;Givenchy;POUR HOMME;1;%;1;1;1;%;%;1;1;1;1;%;%;%;1;%;%;%;%;%;%#
